Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %
United Arab Emirates,ARE,2022,9441138.0,779701518336.0,0.01,0.006,561.135,0.0,0.0,154.95,154.74,11.792,13522.734,127.67,82.506,127.67,82.506,,,2867.239,27.07,17.494,20.1,12.99,0.0,0.0,0.013,,1.355,,0.008,,16389.973,738.258,6.97,4.504,6.96,4.498,0.0,0.0
United Kingdom,GBR,2023,67736800.0,2615230595072.0,33.85,11.534,237.589,4.06,1.383,316.9,293.49,17.956,1729.488,117.15,39.916,100.52,34.25,5.23,1.782,2603.312,176.34,60.084,41.29,14.069,12.57,4.283,33.99,0.01,501.795,0.15,11.581,0.003,4332.8,1993.746,135.05,46.015,13.51,4.603,82.46,28.096
United States,USA,2023,339996576.0,19493170446336.0,47.46,1.117,369.473,675.26,15.892,4266.69,4249.05,18.208,7383.369,2510.32,59.08,1802.06,42.411,233.96,5.506,5113.963,1738.73,40.92,775.35,18.248,33.0,0.777,66.07,18.61,194.325,54.736,1.555,0.438,12497.331,2833.499,963.38,22.673,238.12,5.604,425.23,10.008
United States Virgin Islands,VIR,2022,99479.0,,0.0,0.0,632.353,0.0,0.0,0.68,0.68,,6634.566,0.66,97.059,0.0,0.0,0.0,0.0,201.047,0.02,2.941,0.0,0.0,0.66,97.059,0.0,0.0,0.0,0.0,0.0,0.0,6835.614,201.047,0.02,2.941,0.02,2.941,0.0,0.0
Uruguay,URY,2023,3423106.0,69066227712.0,3.03,22.955,128.788,0.0,0.0,13.6,13.2,,394.379,1.35,10.227,0.0,0.0,3.62,27.424,3461.769,11.85,89.773,0.0,0.0,1.35,10.227,3.03,0.0,885.161,0.0,22.955,0.0,3856.147,3461.769,11.85,89.773,0.46,3.485,4.74,35.909
Uzbekistan,UZB,2022,34627648.0,393572450304.0,0.0,0.0,1167.603,2.22,2.97,78.35,74.76,12.902,2015.153,69.78,93.339,66.08,88.39,4.97,6.648,143.816,4.98,6.661,0.0,0.0,1.48,1.98,0.0,0.0,0.0,0.0,0.0,0.0,2158.969,143.816,4.98,6.661,0.01,0.013,0.0,0.0
Vanuatu,VUT,2022,326744.0,,0.0,0.0,571.429,0.0,0.0,0.07,0.07,,183.63,0.06,85.714,0.0,0.0,0.0,0.0,30.605,0.01,14.286,0.0,0.0,0.06,85.714,0.0,0.0,0.0,0.0,0.0,0.0,214.235,30.605,0.01,14.286,0.01,14.286,0.0,0.0
Venezuela,VEN,2022,28301700.0,149682061312.0,0.0,0.0,185.802,0.0,0.0,84.66,84.66,15.754,667.098,18.88,22.301,13.25,15.651,65.68,77.581,2324.242,65.78,77.699,0.0,0.0,5.63,6.65,0.0,0.0,0.0,0.0,0.0,0.0,2991.34,2324.242,65.78,77.699,0.01,0.012,0.09,0.106
Vietnam,VNM,2023,98858944.0,833803845632.0,0.36,0.135,475.449,124.31,46.774,266.66,265.77,22.868,1549.076,153.14,57.621,26.52,9.979,76.79,28.893,1139.3,112.63,42.379,0.0,0.0,2.31,0.869,0.853,,8.628,,0.321,,2688.376,1139.3,112.63,42.379,25.46,9.58,10.02,3.77
Yemen,YEM,2022,33696612.0,60852994048.0,0.0,0.0,566.102,0.0,0.0,2.95,2.95,,69.74,2.35,79.661,0.54,18.305,0.0,0.0,17.806,0.6,20.339,0.0,0.0,1.81,61.356,0.0,0.0,0.0,0.0,0.0,0.0,87.546,17.806,0.6,20.339,0.6,20.339,0.0,0.0
Zambia,ZMB,2022,20017670.0,68469604352.0,0.08,0.411,111.967,2.16,11.094,17.35,19.47,,107.905,2.16,11.094,0.0,0.0,17.09,87.776,864.736,17.31,88.906,0.0,0.0,0.0,0.0,0.08,0.0,3.996,0.0,0.411,0.0,972.641,864.736,17.31,88.906,0.14,0.719,0.0,0.0
Zimbabwe,ZWE,2022,16320539.0,25901586432.0,0.1,1.12,297.872,2.92,32.699,10.69,8.93,,178.916,2.92,32.699,0.0,0.0,5.88,65.845,368.248,6.01,67.301,0.0,0.0,0.0,0.0,0.1,0.0,6.127,0.0,1.12,0.0,547.163,368.248,6.01,67.301,0.03,0.336,0.0,0.0
