Country,ISO Code,Year,Population,GDP ISD,Biofuel Electricity kWh,Biofuel Share Elec %,Carbon Intensity Elec gCO₂e/kWh,Coal Electricity kWh,Coal Share Elec %,Electricity Demand kWh,Electricity Generation kWh,Electricity Share Energy %,Fossil Elec Per Capita kWh,Fossil Electricity kWh,Fossil Share Elec %,Gas Electricity kWh,Gas Share Elec %,Hydro Electricity kWh,Hydro Share Elec %,Low Carbon Elec Per Capita kWh,Low Carbon Electricity kWh,Low Carbon Share Elec %,Nuclear Electricity kWh,Nuclear Share Elec %,Oil Electricity kWh,Oil Share Elec %,Other Renewable Electricity kWh,Other Renewable Exc Biofuel Electricity kWh,Other Renewables Elec Per Capita kWh,Other Renewables Elec Per Capita Exc Biofuel kWh,Other Renewables Share Elec %,Other Renewables Share Elec Exc Biofuel %,Per Capita Electricity kWh,Renewables Elec Per Capita kWh,Renewables Electricity kWh,Renewables Share Elec %,Solar Electricity kWh,Solar Share Elec %,Wind Electricity kWh,Wind Share Elec %
Bermuda,BMU,2022,64207.0,,0.01,1.587,650.794,0.0,0.0,0.63,0.63,,9656.268,0.62,98.413,0.0,0.0,0.0,0.0,155.746,0.01,1.587,0.0,0.0,0.62,98.413,0.01,0.0,155.746,0.0,1.587,0.0,9812.015,155.746,0.01,1.587,0.0,0.0,0.0,0.0
Bhutan,BTN,2022,782457.0,,0.0,0.0,23.333,0.0,0.0,9.83,9.0,,0.0,0.0,0.0,0.0,0.0,9.0,100.0,11502.229,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11502.229,11502.229,9.0,100.0,0.0,0.0,0.0,0.0
Bolivia,BOL,2023,12388575.0,78165311488.0,0.37,3.045,531.687,0.0,0.0,12.15,12.15,,698.224,8.65,71.193,8.44,69.465,2.31,19.012,282.518,3.5,28.807,0.0,0.0,0.21,1.728,0.37,0.0,29.866,0.0,3.045,0.0,980.742,282.518,3.5,28.807,0.35,2.881,0.47,3.868
Bosnia and Herzegovina,BIH,2023,3210855.0,47069138944.0,0.04,0.237,600.0,9.99,59.112,12.51,16.9,,3120.664,10.02,59.29,0.0,0.0,6.37,37.692,2142.731,6.88,40.71,0.0,0.0,0.03,0.178,0.04,0.0,12.458,0.0,0.237,0.0,5263.396,2142.731,6.88,40.71,0.21,1.243,0.26,1.538
Botswana,BWA,2022,2630300.0,39293968384.0,0.0,0.0,847.909,2.52,95.817,4.29,2.63,,996.084,2.62,99.62,0.0,0.0,0.0,0.0,3.802,0.01,0.38,0.0,0.0,0.1,3.802,0.0,0.0,0.0,0.0,0.0,0.0,999.886,3.802,0.01,0.38,0.01,0.38,0.0,0.0
Brazil,BRA,2023,216422448.0,3187413090304.0,53.72,7.532,98.348,17.19,2.41,726.09,713.18,25.553,305.929,66.21,9.284,38.16,5.351,431.28,60.473,2989.385,646.97,90.716,14.51,2.035,10.86,1.523,55.833,,257.98,,7.829,,3295.314,2922.34,632.46,88.682,51.72,7.252,95.74,13.424
British Virgin Islands,VGB,2022,31332.0,,0.0,0.0,647.059,0.0,0.0,0.17,0.17,,5425.763,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5425.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,BRN,2022,449002.0,,0.0,0.0,893.913,1.22,21.217,5.75,5.75,,12806.18,5.75,100.0,4.49,78.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.696,0.0,0.0,0.0,0.0,0.0,0.0,12806.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,BGR,2023,6687716.0,138390159360.0,2.18,5.451,335.334,11.56,28.907,36.66,39.99,25.265,2014.141,13.47,33.683,1.56,3.901,3.11,7.777,3965.479,26.52,66.317,16.16,40.41,0.35,0.875,2.18,0.0,325.971,0.0,5.451,0.0,5979.62,1549.109,10.36,25.906,3.52,8.802,1.55,3.876
Burkina Faso,BFA,2022,22673764.0,37320441856.0,0.0,0.0,467.533,0.0,0.0,2.32,0.77,,23.375,0.53,68.831,0.0,0.0,0.12,15.584,10.585,0.24,31.169,0.0,0.0,0.53,68.831,0.0,0.0,0.0,0.0,0.0,0.0,33.96,10.585,0.24,31.169,0.12,15.584,0.0,0.0
Burundi,BDI,2022,12889583.0,9177076736.0,0.01,2.778,250.0,0.0,0.0,0.46,0.36,,9.31,0.12,33.333,0.0,0.0,0.22,61.111,18.62,0.24,66.667,0.0,0.0,0.12,33.333,0.01,0.0,0.776,0.0,2.778,0.0,27.93,18.62,0.24,66.667,0.01,2.778,0.0,0.0
Cambodia,KHM,2022,16767851.0,65136594944.0,0.08,0.908,417.707,3.84,43.587,12.38,8.81,,258.829,4.34,49.262,0.0,0.0,4.0,45.403,266.582,4.47,50.738,0.0,0.0,0.5,5.675,0.08,0.0,4.771,0.0,0.908,0.0,525.41,266.582,4.47,50.738,0.39,4.427,0.0,0.0
Cameroon,CMR,2022,27914542.0,82727796736.0,0.04,0.493,305.419,0.0,0.0,8.12,8.12,,109.62,3.06,37.685,2.38,29.31,5.0,61.576,181.268,5.06,62.315,0.0,0.0,0.68,8.374,0.04,0.0,1.433,0.0,0.493,0.0,290.888,181.268,5.06,62.315,0.02,0.246,0.0,0.0
Canada,CAN,2023,38781288.0,1761295597568.0,8.92,1.405,170.043,32.33,5.092,607.38,634.9,20.738,3251.568,126.1,19.861,91.16,14.358,365.39,57.551,13119.729,508.8,80.139,88.91,14.004,2.61,0.411,10.384,,267.77,,1.636,,16371.299,10827.129,419.89,66.135,7.48,1.178,38.1,6.001
Cape Verde,CPV,2022,593162.0,4251154688.0,0.0,0.0,558.14,0.0,0.0,0.43,0.43,,606.917,0.36,83.721,0.0,0.0,0.0,0.0,118.012,0.07,16.279,0.0,0.0,0.36,83.721,0.0,0.0,0.0,0.0,0.0,0.0,724.928,118.012,0.07,16.279,0.01,2.326,0.06,13.953
Cayman Islands,CYM,2022,68722.0,,0.0,0.0,642.857,0.0,0.0,0.7,0.7,,9894.939,0.68,97.143,0.0,0.0,0.0,0.0,291.028,0.02,2.857,0.0,0.0,0.68,97.143,0.0,0.0,0.0,0.0,0.0,0.0,10185.967,291.028,0.02,2.857,0.02,2.857,0.0,0.0
Central African Republic,CAF,2022,5579148.0,3752056576.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,,0.0,0.0,0.0,0.0,0.0,0.15,100.0,26.886,0.15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.886,26.886,0.15,100.0,0.0,0.0,0.0,0.0
Chad,TCD,2022,17723312.0,24118011904.0,0.01,2.857,628.571,0.0,0.0,0.35,0.35,,18.62,0.33,94.286,0.0,0.0,0.0,0.0,1.128,0.02,5.714,0.0,0.0,0.33,94.286,0.01,0.0,0.564,0.0,2.857,0.0,19.748,1.128,0.02,5.714,0.0,0.0,0.01,2.857
Chile,CHL,2023,19629588.0,448338100224.0,,,291.113,13.96,16.697,83.61,83.61,20.85,1668.909,32.76,39.182,15.49,18.526,23.9,28.585,2590.477,50.85,60.818,0.0,0.0,3.31,3.959,6.027,0.42,307.037,21.396,7.208,0.502,4259.386,2590.477,50.85,60.818,16.65,19.914,9.88,11.817
China,CHN,2023,1425671296.0,26966017179648.0,187.05,1.977,582.317,5741.51,60.695,9445.28,9459.59,22.499,4294.56,6122.63,64.724,307.6,3.252,1245.17,13.163,2340.624,3336.96,35.276,434.72,4.596,73.52,0.777,198.125,,138.97,,2.094,,6635.183,2035.701,2902.24,30.68,584.15,6.175,885.87,9.365
Colombia,COL,2023,52085168.0,742716997632.0,2.18,2.513,259.511,8.51,9.811,87.17,86.74,16.835,558.124,29.07,33.514,17.6,20.291,54.24,62.532,1107.225,57.67,66.486,0.0,0.0,2.96,3.412,2.18,0.0,41.855,0.0,2.513,0.0,1665.349,1107.225,57.67,66.486,1.04,1.199,0.21,0.242
Comoros,COM,2022,836783.0,1682077056.0,0.0,0.0,642.857,0.0,0.0,0.14,0.14,,167.307,0.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,167.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,COG,2022,5970430.0,23679010816.0,0.0,0.0,700.0,0.0,0.0,4.0,4.0,,519.226,3.1,77.5,2.9,72.5,0.9,22.5,150.743,0.9,22.5,0.0,0.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,669.969,150.743,0.9,22.5,0.0,0.0,0.0,0.0
Cook Islands,COK,2022,17032.0,,0.0,0.0,250.0,0.0,0.0,0.04,0.04,,1174.26,0.02,50.0,0.0,0.0,0.0,0.0,1174.26,0.02,50.0,0.0,0.0,0.02,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2348.521,1174.26,0.02,50.0,0.02,50.0,0.0,0.0
Costa Rica,CRI,2023,5212178.0,80345899008.0,0.17,1.418,53.378,0.0,0.0,12.32,11.99,,97.848,0.51,4.254,0.0,0.0,8.45,70.475,2202.534,11.48,95.746,0.0,0.0,0.51,4.254,1.49,1.32,285.869,253.253,12.427,11.009,2300.382,2202.534,11.48,95.746,0.07,0.584,1.47,12.26
Cote d'Ivoire,CIV,2022,28160548.0,121472000000.0,0.08,0.719,393.885,0.0,0.0,10.52,11.12,,272.367,7.67,68.975,7.65,68.795,3.35,30.126,122.512,3.45,31.025,0.0,0.0,0.02,0.18,0.08,0.0,2.841,0.0,0.719,0.0,394.879,122.512,3.45,31.025,0.02,0.18,0.0,0.0
Croatia,HRV,2023,4008615.0,102284648448.0,1.1,6.497,204.962,1.35,7.974,18.86,16.93,20.861,1309.679,5.25,31.01,3.73,22.032,7.87,46.486,2913.725,11.68,68.99,0.0,0.0,0.17,1.004,1.1,0.0,274.409,0.0,6.497,0.0,4223.404,2913.725,11.68,68.99,0.19,1.122,2.52,14.885
Cuba,CUB,2022,11212198.0,84154974208.0,0.44,2.412,637.61,0.0,0.0,18.24,18.24,,1550.989,17.39,95.34,1.61,8.827,0.12,0.658,75.81,0.85,4.66,0.0,0.0,15.78,86.513,0.44,0.0,39.243,0.0,2.412,0.0,1626.8,75.81,0.85,4.66,0.27,1.48,0.02,0.11
Cyprus,CYP,2023,1260144.0,34255009792.0,0.06,1.113,534.323,0.0,0.0,5.39,5.39,17.764,3412.309,4.3,79.777,0.0,0.0,0.0,0.0,864.981,1.09,20.223,0.0,0.0,4.3,79.777,0.06,0.0,47.614,0.0,1.113,0.0,4277.289,864.981,1.09,20.223,0.82,15.213,0.21,3.896
Czechia,CZE,2023,10495297.0,342966829056.0,5.22,6.852,449.724,30.63,40.207,67.77,76.18,21.207,3282.423,34.45,45.222,2.37,3.111,2.34,3.072,3976.066,41.73,54.778,30.4,39.905,1.45,1.903,5.22,0.0,497.366,0.0,6.852,0.0,7258.489,1079.531,11.33,14.873,3.05,4.004,0.72,0.945
Democratic Republic of Congo,COD,2022,99010216.0,91314987008.0,0.03,0.272,24.457,0.0,0.0,12.45,11.04,,0.0,0.0,0.0,0.0,0.0,11.0,99.638,111.504,11.04,100.0,0.0,0.0,0.0,0.0,0.03,0.0,0.303,0.0,0.272,0.0,111.504,111.504,11.04,100.0,0.01,0.091,0.0,0.0
Denmark,DNK,2023,5910911.0,299429003264.0,6.92,20.577,151.65,2.67,7.939,36.48,33.63,23.326,705.475,4.17,12.4,0.85,2.528,0.01,0.03,4984.003,29.46,87.6,0.0,0.0,0.65,1.933,6.92,0.0,1170.716,0.0,20.577,0.0,5689.479,4984.003,29.46,87.6,3.12,9.277,19.41,57.716
Djibouti,DJI,2022,1120851.0,3395681536.0,0.0,0.0,692.308,0.0,0.0,0.64,0.13,,115.983,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,115.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,DMA,2022,72758.0,675097984.0,0.0,0.0,529.412,0.0,0.0,0.17,0.17,,1786.745,0.13,76.471,0.0,0.0,0.04,23.529,549.768,0.04,23.529,0.0,0.0,0.13,76.471,0.0,0.0,0.0,0.0,0.0,0.0,2336.513,549.768,0.04,23.529,0.0,0.0,0.0,0.0
Dominican Republic,DOM,2022,11228821.0,191182372864.0,0.18,0.836,580.78,6.04,28.041,21.54,21.54,,1645.765,18.48,85.794,8.09,37.558,1.0,4.643,272.513,3.06,14.206,0.0,0.0,4.35,20.195,0.18,0.0,16.03,0.0,0.836,0.0,1918.278,272.513,3.06,14.206,0.56,2.6,1.32,6.128
East Timor,TLS,2022,1341298.0,,0.0,0.0,666.667,0.0,0.0,0.51,0.51,,380.229,0.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,380.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,ECU,2023,18190492.0,175028879360.0,0.43,1.282,150.224,0.0,0.0,33.74,33.55,17.312,353.481,6.43,19.165,0.84,2.504,26.58,79.225,1490.889,27.12,80.835,0.0,0.0,5.59,16.662,0.43,0.0,23.639,0.0,1.282,0.0,1844.37,1490.889,27.12,80.835,0.04,0.119,0.07,0.209
Egypt,EGY,2023,112716600.0,1460427423744.0,0.0,0.0,570.306,0.0,0.0,199.55,200.98,19.086,1572.883,177.29,88.213,168.54,83.859,13.88,6.906,210.173,23.69,11.787,0.0,0.0,8.75,4.354,0.0,,0.0,,0.0,,1783.056,210.173,23.69,11.787,4.67,2.324,5.14,2.557
El Salvador,SLV,2023,6364946.0,59270934528.0,1.04,14.404,271.468,0.0,0.0,7.9,7.22,,414.772,2.64,36.565,1.6,22.161,0.88,12.188,719.566,4.58,63.435,0.0,0.0,1.04,14.404,2.59,1.55,406.916,243.521,35.873,21.468,1134.338,719.566,4.58,63.435,1.11,15.374,0.0,0.0
Equatorial Guinea,GNQ,2022,1674916.0,20191379456.0,0.0,0.0,591.837,0.0,0.0,1.47,1.47,,591.074,0.99,67.347,0.98,66.667,0.48,32.653,286.582,0.48,32.653,0.0,0.0,0.01,0.68,0.0,0.0,0.0,0.0,0.0,0.0,877.656,286.582,0.48,32.653,0.0,0.0,0.0,0.0
Eritrea,ERI,2022,3684041.0,,0.0,0.0,631.579,0.0,0.0,0.38,0.38,,100.433,0.37,97.368,0.0,0.0,0.0,0.0,2.714,0.01,2.632,0.0,0.0,0.37,97.368,0.0,0.0,0.0,0.0,0.0,0.0,103.148,2.714,0.01,2.632,0.01,2.632,0.0,0.0
Estonia,EST,2023,1322764.0,39999856640.0,1.33,20.525,416.667,0.0,0.0,9.83,6.48,12.943,2729.134,3.61,55.71,0.05,0.772,0.02,0.309,2169.699,2.87,44.29,0.0,0.0,3.56,54.938,1.33,0.0,1005.47,0.0,20.525,0.0,4898.833,2169.699,2.87,44.29,0.77,11.883,0.75,11.574
Eswatini,SWZ,2022,1201680.0,9594910720.0,0.24,41.379,172.414,0.04,6.897,1.49,0.58,,33.287,0.04,6.897,0.0,0.0,0.3,51.724,449.371,0.54,93.103,0.0,0.0,0.0,0.0,0.24,0.0,199.72,0.0,41.379,0.0,482.658,449.371,0.54,93.103,0.0,0.0,0.0,0.0
Ethiopia,ETH,2022,123379928.0,269977223168.0,0.03,0.195,24.643,0.0,0.0,13.76,15.42,,0.081,0.01,0.065,0.0,0.0,14.75,95.655,124.899,15.41,99.935,0.0,0.0,0.01,0.065,0.03,0.0,0.243,0.0,0.195,0.0,124.98,124.899,15.41,99.935,0.04,0.259,0.59,3.826
Falkland Islands,FLK,2022,3801.0,,0.0,0.0,500.0,0.0,0.0,0.02,0.02,,2630.887,0.01,50.0,0.0,0.0,0.0,0.0,2630.887,0.01,50.0,0.0,0.0,0.01,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5261.773,2630.887,0.01,50.0,0.0,0.0,0.01,50.0
Faroe Islands,FRO,2022,53117.0,,0.0,0.0,404.762,0.0,0.0,0.42,0.42,,4894.854,0.26,61.905,0.0,0.0,0.11,26.19,3012.218,0.16,38.095,0.0,0.0,0.26,61.905,0.0,0.0,0.0,0.0,0.0,0.0,7907.073,3012.218,0.16,38.095,0.0,0.0,0.05,11.905
Fiji,FJI,2022,929769.0,,0.04,3.846,288.462,0.0,0.0,1.04,1.04,,451.725,0.42,40.385,0.0,0.0,0.57,54.808,666.832,0.62,59.615,0.0,0.0,0.42,40.385,0.04,0.0,43.021,0.0,3.846,0.0,1118.557,666.832,0.62,59.615,0.01,0.962,0.0,0.0
Finland,FIN,2023,5545476.0,226154840064.0,11.07,13.865,79.158,1.58,1.979,81.75,79.84,38.585,804.259,4.46,5.586,0.53,0.664,15.11,18.925,13593.062,75.38,94.414,33.92,42.485,2.35,2.943,11.07,0.0,1996.222,0.0,13.865,0.0,14397.32,7476.364,41.46,51.929,0.65,0.814,14.63,18.324
France,FRA,2023,64756584.0,2671568748544.0,9.5,1.848,56.039,2.16,0.42,464.18,514.11,30.868,668.658,43.3,8.422,31.43,6.113,53.19,10.346,7270.458,470.81,91.578,335.65,65.288,9.71,1.889,10.1,0.6,155.969,9.265,1.965,0.117,7939.115,2087.201,135.16,26.29,23.26,4.524,48.61,9.455
French Guiana,GUF,2021,297462.0,,0.05,4.95,217.822,,,1.01,1.01,,1042.15,0.31,30.693,,,0.59,58.416,2353.242,0.7,69.307,,,0.31,30.693,,,,,,,3395.392,2353.242,0.7,69.307,0.06,5.941,,
French Polynesia,PYF,2022,306292.0,,0.0,0.0,442.857,0.0,0.0,0.7,0.7,,1534.483,0.47,67.143,0.0,0.0,0.18,25.714,750.917,0.23,32.857,0.0,0.0,0.47,67.143,0.0,0.0,0.0,0.0,0.0,0.0,2285.401,750.917,0.23,32.857,0.05,7.143,0.0,0.0
Gabon,GAB,2022,2388997.0,36035293184.0,0.01,0.42,491.597,0.0,0.0,2.92,2.38,,577.648,1.38,57.983,1.14,47.899,0.99,41.597,418.586,1.0,42.017,0.0,0.0,0.24,10.084,0.01,0.0,4.186,0.0,0.42,0.0,996.234,418.586,1.0,42.017,0.0,0.0,0.0,0.0
Gambia,GMB,2022,2705995.0,4656793600.0,0.0,0.0,666.667,0.0,0.0,0.51,0.51,,188.47,0.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,188.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,GEO,2023,3728278.0,70528606208.0,0.0,0.0,167.594,0.0,0.0,13.69,14.38,,922.678,3.44,23.922,3.44,23.922,10.85,75.452,2934.33,10.94,76.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.009,2934.33,10.94,76.078,0.0,0.0,0.09,0.626
Germany,DEU,2023,83294632.0,3909612732416.0,46.02,9.117,380.95,135.35,26.813,513.71,504.79,18.78,2779.051,231.48,45.857,76.0,15.056,19.48,3.859,3281.244,273.31,54.143,8.75,1.733,20.13,3.988,46.23,0.21,555.018,2.521,9.158,0.042,6060.295,3176.195,264.56,52.41,61.56,12.195,137.29,27.197
Ghana,GHA,2022,33475870.0,145431871488.0,0.02,0.089,484.0,0.0,0.0,20.76,22.5,,443.603,14.85,66.0,14.23,63.244,7.5,33.333,228.523,7.65,34.0,0.0,0.0,0.62,2.756,0.02,0.0,0.597,0.0,0.089,0.0,672.126,228.523,7.65,34.0,0.13,0.578,0.0,0.0
Gibraltar,GIB,2022,32677.0,,0.0,0.0,600.0,0.0,0.0,0.25,0.25,,7650.641,0.25,100.0,0.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7650.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,GRC,2023,10341276.0,263892680704.0,0.57,1.154,336.574,4.72,9.559,54.34,49.38,18.513,2382.685,24.64,49.899,15.65,31.693,3.87,7.837,2392.355,24.74,50.101,0.0,0.0,4.27,8.647,0.57,0.0,55.119,0.0,1.154,0.0,4775.04,2392.355,24.74,50.101,9.39,19.016,10.91,22.094
Greenland,GRL,2022,56494.0,,0.0,0.0,178.571,0.0,0.0,0.56,0.56,,2301.129,0.13,23.214,0.0,0.0,0.43,76.786,7611.428,0.43,76.786,0.0,0.0,0.13,23.214,0.0,0.0,0.0,0.0,0.0,0.0,9912.557,7611.428,0.43,76.786,0.0,0.0,0.0,0.0
Grenada,GRD,2022,125459.0,,0.0,0.0,640.0,0.0,0.0,0.25,0.25,,1912.976,0.24,96.0,0.0,0.0,0.0,0.0,79.707,0.01,4.0,0.0,0.0,0.24,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.683,79.707,0.01,4.0,0.01,4.0,0.0,0.0
Guadeloupe,GLP,2021,396057.0,,0.25,15.06,500.0,0.23,13.855,1.66,1.66,,2777.378,1.1,66.265,,,0.01,0.602,1413.938,0.56,33.735,,,0.87,52.41,0.33,0.08,833.213,201.991,19.88,4.819,4191.316,1413.938,0.56,33.735,0.11,6.627,0.11,6.627
Guam,GUM,2022,171783.0,,0.0,0.0,622.857,0.0,0.0,1.75,1.75,,9663.354,1.66,94.857,0.0,0.0,0.0,0.0,523.917,0.09,5.143,0.0,0.0,1.66,94.857,0.0,0.0,0.0,0.0,0.0,0.0,10187.271,523.917,0.09,5.143,0.09,5.143,0.0,0.0
Guatemala,GTM,2022,17843914.0,146224644096.0,2.89,21.96,328.268,3.48,26.444,13.19,13.16,,239.858,4.28,32.523,0.01,0.076,5.08,38.602,497.649,8.88,67.477,0.0,0.0,0.79,6.003,3.22,0.33,180.454,18.494,24.468,2.508,737.506,497.649,8.88,67.477,0.24,1.824,0.34,2.584
Guinea,GIN,2022,13859349.0,23678257152.0,0.0,0.0,236.842,0.0,0.0,3.04,3.04,,73.597,1.02,33.553,0.0,0.0,2.0,65.789,145.75,2.02,66.447,0.0,0.0,1.02,33.553,0.0,0.0,0.0,0.0,0.0,0.0,219.347,145.75,2.02,66.447,0.02,0.658,0.0,0.0
Guinea-Bissau,GNB,2022,2105580.0,3259313920.0,0.0,0.0,625.0,0.0,0.0,0.08,0.08,,37.994,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,GUY,2022,808727.0,,0.01,0.877,640.351,0.0,0.0,1.14,1.14,,1384.893,1.12,98.246,0.02,1.754,0.0,0.0,24.73,0.02,1.754,0.0,0.0,1.1,96.491,0.01,0.0,12.365,0.0,0.877,0.0,1409.623,24.73,0.02,1.754,0.01,0.877,0.0,0.0
Haiti,HTI,2022,11585003.0,17550917632.0,0.0,0.0,567.308,0.0,0.0,1.04,1.04,,77.687,0.9,86.538,0.0,0.0,0.14,13.462,12.085,0.14,13.462,0.0,0.0,0.9,86.538,0.0,0.0,0.0,0.0,0.0,0.0,89.771,12.085,0.14,13.462,0.0,0.0,0.0,0.0
Honduras,HND,2022,10432858.0,49738256384.0,1.25,10.408,282.265,0.07,0.583,12.22,12.01,,425.578,4.44,36.969,0.0,0.0,4.0,33.306,725.592,7.57,63.031,0.0,0.0,4.37,36.386,1.61,0.36,154.32,34.506,13.405,2.998,1151.171,725.592,7.57,63.031,1.19,9.908,0.77,6.411
Hong Kong,HKG,2022,7488863.0,356690493440.0,0.14,0.39,699.499,14.03,39.037,48.51,35.94,16.583,4768.414,35.71,99.36,21.48,59.766,0.0,0.0,30.712,0.23,0.64,0.0,0.0,0.2,0.556,0.14,0.0,18.694,0.0,0.39,0.0,4799.126,30.712,0.23,0.64,0.09,0.25,0.0,0.0
Hungary,HUN,2023,10156241.0,285385228288.0,1.75,4.888,204.19,2.78,7.765,46.9,35.8,16.704,1051.57,10.68,29.832,7.55,21.089,0.22,0.615,2473.356,25.12,70.168,15.92,44.469,0.35,0.978,1.75,0.0,172.308,0.0,4.888,0.0,3524.926,905.847,9.2,25.698,6.6,18.436,0.63,1.76
Iceland,ISL,2022,372903.0,16019539968.0,0.0,0.0,27.68,0.0,0.0,19.87,19.87,62.526,0.0,0.0,0.0,0.0,0.0,13.94,70.156,53284.637,19.87,100.0,0.0,0.0,0.0,0.0,5.92,5.92,15875.442,15875.442,29.794,29.794,53284.637,53284.637,19.87,100.0,0.0,0.0,0.01,0.05
India,IND,2023,1428627712.0,10476248367104.0,39.31,1.998,713.441,1480.46,75.23,1956.97,1967.9,19.416,1074.948,1535.7,78.037,51.28,2.606,149.19,7.581,302.528,432.2,21.962,48.19,2.449,3.96,0.201,37.282,,26.096,,1.894,,1377.476,268.796,384.01,19.514,113.41,5.763,82.1,4.172
Indonesia,IDN,2022,275501344.0,3500093472768.0,20.62,6.182,675.931,205.31,61.555,334.51,333.54,12.464,973.244,268.13,80.389,56.71,17.002,27.3,8.185,237.422,65.41,19.611,0.0,0.0,6.11,1.832,37.31,16.69,135.426,60.58,11.186,5.004,1210.666,237.422,65.41,19.611,0.44,0.132,0.36,0.108
Iran,IRN,2023,89172768.0,1572209033216.0,0.02,0.006,655.125,0.75,0.207,355.61,363.03,10.454,3818.543,340.51,93.797,314.43,86.613,13.95,3.843,252.543,22.52,6.203,6.57,1.81,25.33,6.977,0.028,,0.316,,0.008,,4071.086,178.866,15.95,4.394,0.73,0.201,1.25,0.344
Iraq,IRQ,2022,44496124.0,527639314432.0,0.0,0.0,688.814,0.0,0.0,119.12,115.59,17.558,2536.85,112.88,97.656,79.29,68.596,2.65,2.293,60.904,2.71,2.344,0.0,0.0,33.59,29.06,0.0,0.0,0.0,0.0,0.0,0.0,2597.754,60.904,2.71,2.344,0.06,0.052,0.0,0.0
Ireland,IRL,2023,5056931.0,308390920192.0,1.01,3.213,290.805,1.14,3.627,34.64,31.43,19.906,3500.146,17.7,56.316,15.71,49.984,0.94,2.991,2715.085,13.73,43.684,0.0,0.0,0.85,2.704,1.01,0.0,199.726,0.0,3.213,0.0,6215.232,2715.085,13.73,43.684,0.54,1.718,11.24,35.762
Israel,ISR,2022,9038313.0,336722558976.0,0.0,0.0,582.927,16.74,22.052,68.99,75.91,25.35,7563.358,68.36,90.054,51.3,67.58,0.02,0.026,835.333,7.55,9.946,0.0,0.0,0.32,0.422,0.0,0.0,0.0,0.0,0.0,0.0,8398.691,835.333,7.55,9.946,7.35,9.683,0.18,0.237
Italy,ITA,2023,58870764.0,2136009342976.0,16.61,6.326,330.718,13.9,5.294,313.9,262.58,17.96,2510.244,147.78,56.28,118.34,45.068,37.94,14.449,1950.034,114.8,43.72,0.0,0.0,15.54,5.918,22.34,5.73,379.475,97.332,8.508,2.182,4460.278,1950.034,114.8,43.72,31.01,11.81,23.51,8.953
Jamaica,JAM,2022,2827382.0,20019224576.0,0.06,1.307,555.556,0.0,0.0,4.59,4.59,,1404.126,3.97,86.492,2.68,58.388,0.14,3.05,219.284,0.62,13.508,0.0,0.0,1.29,28.105,0.06,0.0,21.221,0.0,1.307,0.0,1623.41,219.284,0.62,13.508,0.14,3.05,0.28,6.1
Japan,JPN,2023,123294512.0,4774494732288.0,49.24,4.858,485.392,327.42,32.306,1013.51,1013.51,23.262,5633.26,694.55,68.529,332.88,32.844,73.79,7.281,2586.976,318.96,31.471,77.44,7.641,34.25,3.379,42.045,,341.015,,4.148,,8220.236,1958.887,241.52,23.83,109.36,10.79,9.13,0.901
