country,iso_code,year,population,gdp,biofuel_electricity,carbon_intensity_elec,coal_electricity,electricity_demand,electricity_generation,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity
American Samoa,ASM,2019,47341.0,,0.0,687.5,0.0,160000000.0,160000000.0,160000000.0,0.0,0.0,0.0,0.0,160000000.0,0.0,0.0,3379.734,0.0,0.0,0.0
American Samoa,ASM,2020,46216.0,,0.0,647.059,0.0,170000000.0,170000000.0,170000000.0,0.0,0.0,0.0,0.0,170000000.0,0.0,0.0,3678.38,0.0,0.0,0.0
American Samoa,ASM,2021,45056.0,,0.0,647.059,0.0,170000000.0,170000000.0,170000000.0,0.0,0.0,0.0,0.0,170000000.0,0.0,0.0,3773.082,0.0,0.0,0.0
American Samoa,ASM,2022,44295.0,,0.0,611.111,0.0,180000000.0,180000000.0,170000000.0,0.0,0.0,10000000.0,0.0,170000000.0,0.0,0.0,4063.664,10000000.0,10000000.0,0.0
Angola,AGO,2017,30208634.0,164717707264.0,50000000.0,205.365,0.0,10810000000.0,10810000000.0,3090000000.0,40000000.0,7650000000.0,7720000000.0,0.0,3050000000.0,50000000.0,0.0,357.845,7720000000.0,20000000.0,0.0
Angola,AGO,2018,31273538.0,162550038528.0,50000000.0,154.49,0.0,13140000000.0,13140000000.0,2700000000.0,80000000.0,10370000000.0,10440000000.0,0.0,2620000000.0,50000000.0,0.0,420.164,10440000000.0,20000000.0,0.0
Angola,AGO,2019,32353592.0,161408925696.0,50000000.0,186.473,0.0,15820000000.0,15820000000.0,4240000000.0,1640000000.0,11510000000.0,11580000000.0,0.0,2600000000.0,50000000.0,0.0,488.972,11580000000.0,20000000.0,0.0
Angola,AGO,2020,33428490.0,152308695040.0,50000000.0,171.327,0.0,16809999999.999998,16809999999.999998,4099999999.9999995,1650000000.0,12640000000.0,12710000000.0,0.0,2450000000.0,50000000.0,0.0,502.864,12710000000.0,20000000.0,0.0
Angola,AGO,2021,34503776.0,153971900416.0,50000000.0,172.7,0.0,16850000000.000002,16850000000.000002,4139999999.9999995,1660000000.0,12640000000.0,12710000000.0,0.0,2480000000.0,50000000.0,0.0,488.352,12710000000.0,20000000.0,0.0
Angola,AGO,2022,35588996.0,158346248192.0,50000000.0,174.734,0.0,16940000000.000002,16940000000.000002,4230000000.0000005,1670000000.0,12640000000.0,12710000000.0,0.0,2560000000.0,50000000.0,0.0,475.99,12710000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2017,91133.0,,0.0,628.571,0.0,350000000.0,350000000.0,340000000.0,0.0,0.0,10000000.0,0.0,340000000.0,0.0,0.0,3840.541,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2018,91644.0,,0.0,638.889,0.0,360000000.0,360000000.0,350000000.0,0.0,0.0,10000000.0,0.0,350000000.0,0.0,0.0,3928.244,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2019,92127.0,,0.0,638.889,0.0,360000000.0,360000000.0,350000000.0,0.0,0.0,10000000.0,0.0,350000000.0,0.0,0.0,3907.649,10000000.0,10000000.0,0.0
Antigua and Barbuda,ATG,2020,92672.0,,0.0,628.571,0.0,350000000.0,350000000.0,330000000.0,0.0,0.0,20000000.0,0.0,330000000.0,0.0,0.0,3776.761,20000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2021,93229.0,,0.0,628.571,0.0,350000000.0,350000000.0,330000000.0,0.0,0.0,20000000.0,0.0,330000000.0,0.0,0.0,3754.197,20000000.0,20000000.0,0.0
Antigua and Barbuda,ATG,2022,93772.0,,0.0,611.111,0.0,360000000.0,360000000.0,340000000.0,0.0,0.0,20000000.0,0.0,340000000.0,0.0,0.0,3839.099,20000000.0,20000000.0,0.0
Argentina,ARG,2017,44054616.0,856142118912.0,1460000000.0,425.383,2009999999.9999998,156070000000.0,145610000000.0,105840000000.0,91210000000.0,31590000000.0,39770000000.0,6090000000.0,12620000000.0,1462000000.0,,3305.216,33680000000.0,20000000.0,610000000.0
Argentina,ARG,2018,44413592.0,833736998912.0,1420000000.0,414.294,2029999999.9999998,156340000000.0,146780000000.0,104690000000.0,95350000000.0,32280000000.0,42090000000.0,6870000000.0,7310000000.0,1417000000.0,,3304.844,35220000000.0,110000000.0,1410000000.0
Argentina,ARG,2019,44745516.0,817053892608.0,1480000000.0,397.621,1170000000.0,150220000000.0,139530000000.0,96310000000.0,91310000000.0,27500000000.0,43220000000.0,8439999999.999999,3830000000.0,1476000000.0,,3118.301,34780000000.0,800000000.0,5000000000.0
Argentina,ARG,2020,45036032.0,735814221824.0,2200000000.0,394.704,1640000000.0,149350000000.0,144640000000.0,98010000000.0,88720000000.0,23670000000.0,46630000000.0,10010000000.0,7650000000.0,2200000000.0,,3211.651,36620000000.0,1340000000.0,9410000000.0
Argentina,ARG,2021,45276788.0,812324159488.0,2250000000.0,406.987,2380000000.0,155650000000.0,153150000000.0,105940000000.0,89930000000.0,19650000000.0,47210000000.0,10170000000.0,13630000000.0,2254000000.0,,3382.528,37040000000.0,2200000000.0,12940000000.0
Argentina,ARG,2022,45510324.0,854914301952.0,2340000000.0,394.616,2140000000.0000002,163710000000.0,150830000000.0,100030000000.0,80420000000.0,23890000000.0,50800000000.0,7470000000.0,17470000000.0,2353000000.0,,3314.193,43330000000.0,2940000000.0,14160000000.0
Armenia,ARM,2017,2851929.0,31741804544.0,0.0,231.076,0.0,6410000000.0,7530000000.0,2870000000.0,2870000000.0,2250000000.0,4660000000.0,2410000000.0,0.0,0.0,0.0,2640.318,2250000000.0,0.0,0.0
Armenia,ARM,2018,2836563.0,33400320000.0,0.0,268.775,0.0,6170000000.0,7590000000.0,3380000000.0,3380000000.0,2290000000.0,4210000000.0,1900000000.0,0.0,0.0,0.0,2675.773,2310000000.0,20000000.0,0.0
Armenia,ARM,2019,2820604.0,35949092864.0,0.0,248.331,0.0,6530000000.0,7490000000.0,3050000000.0,3050000000.0,2350000000.0,4440000000.0,2029999999.9999998,0.0,0.0,0.0,2655.459,2410000000.0,60000000.0,0.0
Armenia,ARM,2020,2805610.0,33378377728.0,0.0,251.309,0.0,6630000000.0,7640000000.0,3170000000.0,3170000000.0,1780000000.0,4470000000.0,2550000000.0,0.0,0.0,0.0,2723.115,1920000000.0,140000000.0,0.0
Armenia,ARM,2021,2790971.0,35275595776.0,0.0,265.544,0.0,7090000000.0,7720000000.0,3380000000.0,3380000000.0,2200000000.0,4340000000.0,1850000000.0,0.0,0.0,0.0,2766.062,2490000000.0,290000000.0,0.0
Armenia,ARM,2022,2780472.0,39721734144.0,0.0,264.538,0.0,8010000000.0,8770000000.0,3810000000.0,3810000000.0,2000000000.0,4960000000.0,2630000000.0,0.0,0.0,0.0,3154.141,2330000000.0,330000000.0,0.0
Aruba,ABW,2017,105454.0,,0.0,567.01,0.0,970000000.0,970000000.0,830000000.0,0.0,0.0,140000000.0,0.0,830000000.0,0.0,0.0,9198.323,140000000.0,10000000.0,130000000.0
Aruba,ABW,2018,105980.0,,0.0,552.083,0.0,960000000.0,960000000.0,810000000.0,0.0,0.0,150000000.0,0.0,810000000.0,0.0,0.0,9058.312,150000000.0,10000000.0,140000000.0
Aruba,ABW,2019,106458.0,,0.0,556.701,0.0,970000000.0,970000000.0,820000000.0,0.0,0.0,150000000.0,0.0,820000000.0,0.0,0.0,9111.574,150000000.0,10000000.0,140000000.0
Aruba,ABW,2020,106597.0,,0.0,556.701,0.0,970000000.0,970000000.0,820000000.0,0.0,0.0,150000000.0,0.0,820000000.0,0.0,0.0,9099.693,150000000.0,10000000.0,140000000.0
Aruba,ABW,2021,106543.0,,0.0,561.224,0.0,980000000.0,980000000.0,830000000.0,0.0,0.0,150000000.0,0.0,830000000.0,0.0,0.0,9198.164,150000000.0,10000000.0,140000000.0
Aruba,ABW,2022,106459.0,,0.0,561.224,0.0,980000000.0,980000000.0,830000000.0,0.0,0.0,150000000.0,0.0,830000000.0,0.0,0.0,9205.422,150000000.0,10000000.0,140000000.0
Asia,,2017,4547095064.0,,170180000000.0,636.987,6909930000000.0,13063340000000.0,13066420000000.0,9984970000000.0,2530980000000.0,1769820000000.0,3081450000000.0,502940000000.0,544059999999.99994,199640000000.0,29460000000.0,2873.575,2578510000000.0,217580000000.0,391470000000.0
Asia,,2018,4588802751.0,,195670000000.0,632.99,7401150000000.0,13832510000000.0,13835870000000.0,10458189000000.0,2588040000000.0,1811700000000.0,3377680000000.0,562430000000.0,469000000000.0,227350000000.0,31680000000.0,3015.137,2815250000000.0,310100000000.0,466100000000.0
Asia,,2019,4627738749.0,,223630000000.0,618.811,7527870000000.0,14275990000000.0,14275610000000.0,10520920000000.0,2544510000000.0,1936560000000.0,3754690000000.0,655240000000.0,448540000000.0,256660000000.00003,33030000000.0,3084.792,3099450000000.0,392280000000.0,513950000000.00006
Asia,,2020,4663086623.0,,250880000000.0,608.481,7500000000000.0,14501620000000.0,14491850000000.0,10511030000000.0,2585490000000.0,1981130000000.0,3980820000000.0,665580000000.0,425540000000.0,286530000000.0,35650000000.0,3107.781,3315240000000.0,469260000000.0,578320000000.0
Asia,,2021,4693332132.0,,293670000000.0,603.642,8059210000000.0,15615699000000.0,15597829000000.0,11209949000000.0,2696560000000.0,1949580000000.0,4387880000000.0,730120000000.0,454180000000.0,330370000000.0,36700000000.0,3323.402,3657760000000.0,592370000000.0,785440000000.0
Asia,,2022,4721383370.0,,327630000000.0,594.408,8252000000000.0,16236229000000.0,16216660000000.0,11447439000000.0,2738490000000.0,1989020000000.0,4769220000000.0,767140000000.0,456950000000.0,366030000000.0,38400000000.0,3434.726,4002080000000.0,741390000000.0,905640000000.0
Australia,AUS,2017,24590336.0,1197832929280.0,3560000000.0,718.076,159170000000.0,258970000000.00003,258970000000.00003,219780000000.0,55090000000.0,13500000000.0,39190000000.0,0.0,5520000000.0,3562000000.0,,10531.373,39190000000.0,8920000000.0,13210000000.0
Australia,AUS,2018,24979228.0,1231576891392.0,3590000000.0,688.421,156560000000.0,262630000000.0,262630000000.0,213140000000.0,51460000000.0,17310000000.0,49490000000.0,0.0,5120000000.0,3588000000.0,,10513.936,49490000000.0,12330000000.0,16260000000.000002
Australia,AUS,2019,25357168.0,1255505526784.0,3470000000.0,670.102,149840000000.0,265899999999.99997,265899999999.99997,210640000000.0,55710000000.0,14020000000.0,55260000000.0,0.0,5090000000.0,3468000000.0,,10486.187,55260000000.0,18300000000.0,19470000000.0
Australia,AUS,2020,25670052.0,1232259776512.0,3410000000.0,642.335,142930000000.0,265220000000.00003,265220000000.00003,200940000000.0,53120000000.0,14420000000.0,64280000000.0,0.0,4890000000.0,3410000000.0,,10331.884,64280000000.0,23840000000.0,22610000000.0
Australia,AUS,2021,25921094.0,1296705126400.0,3340000000.0,605.908,137400000000.0,267450000000.0,267450000000.0,190180000000.0,47630000000.0,15940000000.0,77270000000.0,0.0,5150000000.0,3344000000.0,,10317.852,77270000000.0,31190000000.0,26800000000.0
Australia,AUS,2022,26177410.0,1344251494400.0,3250000000.0,570.353,130930000000.0,273550000000.0,273550000000.0,182690000000.0,46290000000.0,17120000000.000002,90860000000.0,0.0,5470000000.0,3187000000.0,,10449.849,90860000000.0,38840000000.0,31650000000.0
Austria,AUT,2017,8797497.0,373481668608.0,4920000000.0,162.915,1760000000.0,73640000000.0,67090000000.0,16040000000.0,10910000000.0,38290000000.0,51050000000.0,0.0,3370000000.0,4920000000.0,0.0,7626.033,51050000000.0,1270000000.0,6570000000.0
